the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
,Unknown,Unknown,Unknown,64,1,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000003A400000000000804340,"39, 26",39,26,6,351,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000006666666666662E40CDCCCCCCCC8C4640,"45.1, 15.2",45.1,15.2,9,466,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000033333333333303403333333333734840,"48.9, 2.4",48.9,2.4,1,529,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000000000000000000C06666666666664A40,"52.8, -2",52.8,-2,1,679,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
,"47°22'N, 8°32'E",47°22'N, 8°32'E,4,511,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
,Grand Total,Grand Total,Grand Total,29986,749,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000EA7AA2EBC2A72F403F8EE6C8CA2FCDBF,"-0.228021, 15.827659",-0.228021,15.827659,3,2,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000004966F50EB7DF31405952EE3EC76726C0,"-11.202692, 17.873887",-11.202692,17.873887,1,3,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FF93BF7B4795464048E17A14AEA729C0,"-12.8275, 45.166244",-12.8275,45.166244,757,4,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C4211B48174141400CC85EEFFE9021C0,"-8.783195, 34.508523",-8.783195,34.508523,21,5,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000A20DC00644E8224060E63BF88903D93F,"0.390841, 9.453644",0.390841,9.453644,37,6,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000054707841448446409A99999999992940,"12.8, 45.033333",12.8,45.033333,55,7,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000A86E2EFEB6373E400E85CFD6C1B92940,"12.862807, 30.217636",12.862807,30.217636,47,8,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001630815B77E32DC02332ACE28DCC2940,"12.89952, -14.94427",12.89952,-14.94427,310,9,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000055A0168387C54DC0363D282845632A40,"13.193887, -59.543198",13.193887,-59.543198,37,10,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000A46DFC89CA9E2EC00C5A48C0E8E22A40,"13.443182, -15.310139",13.443182,-15.310139,58,11,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000423EE8D9ACEA41402575029A08FB2C40,"14.4903, 35.8334",14.4903,35.8334,1,12,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000004E8F7FD9BE72CC0D2FE0758ABFE2C40,"14.497401, -14.452362",14.497401,-14.452362,200,13,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000030664B56457C31C0B4942C27A17C2D40,"14.743417, -17.485433",14.743417,-17.485433,74,14,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000003A400000000000004540,"42, 26",42,26,9,438,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000004D4EED0C537B31C02B6EDC627E862D40,"14.762683, -17.481736",14.762683,-17.481736,40,15,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000039639813B45D31C087527B116D872D40,"14.764504, -17.366029",14.764504,-17.366029,133,16,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FF058200194248407E3B8908FF1A2F40,"15.552727, 48.516388",15.552727,48.516388,1,17,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000007C0BEBC6BB3B23C08B5242B0AAAA3040,"16.666667, -9.616667",16.666667,-9.616667,44,18,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000006E4F90D8EEEE1F40581F0F7D77F73040,"16.966667, 7.983333",16.966667,7.983333,38,19,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
